title,label,publication_date,altmetric_score,news_mentions,marquee_mentions
The Dogma of Dingoes�Taxonomic status of the dingo: A reply to Smith et al.,"Cairns 2018
dingo reply",2019-03-04,59,5,0
"A global environmental crisis 42,000 years ago","Cooper 2021
Science",2021-02-19,2022,236,24
"An ancient viral epidemic involving host coronavirus interacting genes more than 20,000 years ago in East Asia","Souilmi 2021
Curr. Biol.",2021-06-24,2519,323,23
"Response to Comment on �A global environmental crisis 42,000 years ago�","Tobler 2021
Science reply",2021-11-18,13,2,0
"A 1000-year-old case of Klinefelter's syndrome diagnosed by integrating morphology, osteology, and genetics","Roca-Rada 2022
Lancet",2022-08-01,331,43,0
Admixture has obscured signals of historical hard sweeps in humans,"Souilmi 2022
Nat. Ecol. Evol.",2022-10-31,326,40,3
The impact of the cytoplasmic ubiquitin ligase TNFAIP3 gene variation on transcription factor NF-?B activation in acute kidney injury,"Rogers 2023
Kidney Int.",2023-04-23,138,20,0
The role of genetic selection and climatic factors in the dispersal of anatomically modern humans out of Africa,"Tobler 2023
PNAS (OOA)",2023-05-23,354,20,2
Ancient genomes reveal over two thousand years of dingo population structure,"Souilmi 2024
PNAS (dingo)",2024-07-08,787,110,10
